	KW	VD	PR1	PR2	PR3	PR4	PR5	PR6	Tier	Avg_tier_height	Vys_1	Vys_2	Vys_3	Vys_4	Vys_5	Vys_6	DM1	DM2	DM3	DM4	DM5	DM6	Age_class	Age_group	Bon	Vyd_reserve	Full
0	1	1																									
1	1	2	5Е	3Ос	2Б				1	29	27	32	27				28	40	28				5	2	1	23	0.5
2	1	3	4Ос	2Б	2Олч	2Е			1	30	33	28	28	27			40	28	30	28			10	5	1А	109	0.6
3	1	4	7Ос	3Б					1	31	32	28					36	26					8	4	1А	119	0.8
4	1	5	4Е	2Е	3Б	1Ос			1	28	29	25	27	30			32	24	26	40			7	3	2	55	0.5
5	1	6	3Е	2Е	3Б	2Ос			1	26	23	27	26	28			24	28	24	32			5	2	2	27	0.3
6	1	7	3Е	2Е	4Б	1Ос			1	25	23	26	26	29			22	28	24	32			5	2	2	13	0.3
7	1	8	4Е	2Е	3Б	1Ос			1	27	28	24	27	30			30	24	26	36			7	3	2	77	0.5
8	1	9	5Е	2Е	2Б	1Ос			1	26	27	24	24	28			28	24	22	30			7	3	2	32	0.7
9	1	10	6Е	2Б	2Ос				1	24	23	24	27				20	20	28				3	2	1	41	1.0
10	1	11	5Ос	3Б	2Е				1	27	26	30	25				22	32	24				7	4	1	70	0.7
11	1	12	6Е	3Б	1Олс				1	13	14	11	11				12	6	6				2	1	2	24	0.6
12	1	13	5Е	4Б	1Ос				1	24	23	24	26				20	20	26				3	2	1	28	0.9
13	1	14	8Е	2Б					1	23	23	24					20	20					3	2	1	47	0.9
14	1	15																							2		
15	1	16	4Е	4Б	2Олс				1	7	6	7	7				4	4	4				2	1	4	9	0.7
16	1	17	4Е	6Б					1	10	12	8					12	4					2	1	3	8	0.9
17	1	18	7Е	1С	1Б	1Ос			1	27	27	27	26	28			26	28	22	30			4	2	1А	16	1.0
18	1	19	6Е	2Б	2Ос				1	25	25	24	28				24	20	30				4	2	1	17	0.7
19	1	20	6Ос	2Б	2Е				1	27	28	26	25				30	24	24				7	4	1	90	0.7
20	1	21	6Е	2Б	2Ос				1	25	25	24	28				24	20	30				4	2	1	50	0.5
21	1	22	5Ос	4Б	1Е				1	27	28	26	25				30	22	24				7	4	1	53	0.7
22	1	23	5Е	4Б	1Олс				1	7	6	7	7				4	4	4				2	1	4	19	0.7
23	1	24	7Е	2Б	1Олс				1	10	9	11	12				10	6	6				2	1	3	47	0.7
24	1	25	4Е	3Е	3Б				1	12	11	15	10				12	18	6				2	1	3	33	0.6
25	1	26	6Е	2Б	2Ос				1	26	25	26	27				24	22	28				4	2	1	154	0.9
26	1	27	5Е	1С	2Б	2Ос			1	27	27	27	25	28			28	32	24	30			8	4	2	85	0.5
27	1	28	9Ос	1Б					1	29	29	26					30	22					7	4	1А	23	0.9
28	1	29	5Е	3Б	2Ос				1	19	19	19	21				18	16	22				3	2	2	19	0.8
29	1	30	4Е	2Е	2Б	2Ос			1	21	19	23	22	23			18	26	20	24			3	2	2	21	0.7
30	1	31	5Е	3Б	2Ос				1	13	12	14	14				10	10	10				2	1	3	48	0.8
31	1	32	4Е	2Е	2Б	2Ос			1	26	27	24	24	28			28	24	22	30			7	3	2	70	0.7
32	1	33	10Ос						1	27	27						32						10	5	2	20	0.7
33	1	34	6Ос	4Б					1	28	28	27					36	26					12	5	2	70	0.7
34	1	35	4Ос	2Б	4Е				1	26	28	26	25				30	24	24				6	3	1А	47	0.7
35	1	36	6Е	2Б	2Ос				1	26	26	25	28				24	20	28				3	2	1А	14	0.9
36	1	37	4Е	2С	2Б				1	25	25	25	23				28	24	18				3	2	1А	84	0.8
37	1	38	3С	3Е	2Б	2Ос			1	23	25	20	23	25			26	18	18	26			3	2	1А	29	0.8
38	1	39	4Е	2Е	2Б	2Ос			1	28	31	24	26	30			32	20	26	36			7	3	1	245	0.7
39	1	40	5Е	5Б					1	13	12	13					10	18					3	2	3	52	0.9
40	1	41	5Е	4Б	1Ос				1	19	18	19	21				16	16	22				3	2	2	33	0.9
41	1	42	7Е	3Б					1	6	6	6					4	4					2	1	4	7	0.7
42	1	43	8Б	2Е					1	6	6	4					4	4					2	1	4	1	0.4
43	1	44	5Е	3Б	2Ос				1	13	12	14	14				10	8	10				2	1	2	9	0.8
44	1	45	6Ос	4Б					1	27	28	26					32	24					12	5	2	20	0.7
45	1	46	4Е	3С	1Б	2Ос			1	27	26	28	26	29			28	32	24	36			7	3	2	21	0.8
46	1	47	6С	2Е	1Б	1Ос			1	19	19	17	18	20			20	14	16	20			3	2	2	38	0.6
47	1	48	6Е	4С					1	16	15	17					14	18					3	2	2	47	0.8
48	1	49	5Е	2Е	1Б	2Ос			1	21	19	24	22	23			18	28	20	24			3	2	2	28	0.8
49	1	50	6Б	2Е	2Е				1	17	17	14	22				12	14	24				6	2	3	4	0.4
50	1	51	9С	1Б					1	25	25	20					32	18					8	4	3	41	0.5
51	1	52	3Е	2Е	5Б				1	16	14	18	17				14	20	14				3	2	3	10	0.5
52	1	53	5Е	5Б					1	15	14	15					12	10					3	2	3	25	0.7
53	1	54	4Е	1С	5Б				1	5	5	5	5				4	4	4				1	1	3	1	0.6
54	1	55	4Е	2Е	4Б				1	7	6	9	6				6	10	4				2	1	4	5	0.6
55	1	56	5Е	3Е	2Б				1	22	20	26	23				18	28	20				4	2	3	69	0.8
56	1	57	6Е	4Б					1	7	7	7					4	4					2	1	4	8	0.6
57	1	58	4Е	4Е	2Б				1	23	26	20	25				28	20	24				7	3	3	55	0.6
58	1	59	4Е	3Е	3Б				1	20	16	23	23				16	24	24				5	2	4	17	0.6
59	1	60	10С						1	25	25						22						3	2	1А	195	0.8
60	1	61	4Е	3С	3Б				1	25	24	26	24				22	28	20				3	2	1А	27	0.7
61	1	62	8С	1Е	1Б				1	19	19	17	17				20	16	14				3	2	2	60	0.7
62	1	63	4С	4С	1Е	1Б			1	19	23	17	17	16			30	18	16	10			8	4	3	62	0.5
63	1	64	8С	1Е	1Б				1	16	16	14	15				16	14	12				3	2	3	43	0.8
64	1	65	8Е	2Б					1	16	16	17					14	14					3	2	3	101	0.7
65	1	66	5Е	5Б					1	9	8	10					6	8					2	1	4	12	0.8
66	1	67	5С	2Е	3Б				1	24	25	22	24				30	24	24				8	4	3	15	0.3
67	1	68	5Е	5Б					1	5	5	5					4	4					1	1	3	2	0.6
68	1	69	4С	1Е	2Б	3Ос			1	24	24	22	22	27			30	24	24	32			8	4	3	18	0.3
69	1	70	4Е	2Е	2Б	2Ос			1	26	27	22	25	29			30	20	24	36			8	4	2	55	0.5
70	1	71	6Е	3Б	1Ос				1	16	16	17	17				14	14	16				3	2	2	10	0.8
71	1	72	10С						1	26	26						24						3	2	1А	16	0.7
72	1	73																									
73	1	74																									
74	1	75																									
75	2	1	5С	3Е	1Б	1Ос			1	24	25	22	23	24			26	18	18	24			4	2	1	56	0.9
76	2	2	4Б	1Ос	2Олч				1	25	25	28	27				22	32	28				6	2	1	31	0.7
77	2	3	7Е	1Б	2Ос				1	21	20	22	24				18	18	24				3	2	1	41	0.9
78	2	4	5Е	2С	2Б				1	23	23	24	22				18	24	18				3	2	1	149	0.9
79	2	5	7С	3Е					1	19	19	18					20	16					3	2	2	13	0.7
80	2	19	4Ос	2Б	4Е				1	27	28	25	26				30	22	24				7	4	1	20	0.7
81	2	20	5Е	2Б	3Ос				1	26	25	25	27				24	20	28				4	2	1	25	0.7
82	2	21	3Б	3Ос	1Олс	3Е			1	24	24	27	20	23			20	28	20	20			7	3	2	34	0.7
83	2	22	4Е	2Е	2Б	2Ос			1	24	21	25	24	27			20	26	22	28			4	2	2	35	0.7
84	2	23	5Б	2Ос	3Е				1	19	18	22	17				12	20	16				5	2	2	61	0.8
85	2	24	8Е	1Б	1Ос				1	25	25	23	26				24	20	26				4	2	1	69	0.9
86	2	25	5Е	3Б	2Ос				1	16	15	18	14				14	14	10				3	2	2	67	0.7
87	2	26	5Е	3Б	2Ос				1	16	14	18	20				12	12	20				3	2	2	18	0.7
88	2	27	7Е	2Б	1Ос				1	22	21	22	24				18	18	24				3	2	1	202	0.9
89	2	6	5Б	2Ос	3Е				1	25	24	28	25				24	30	26				9	4	2	9	0.5
90	2	7	4Е	2Е	2С	1Б	1Ос		1	27	28	23	28	25	29		30	22	32	24	36		8	5	2	66	0.5
91	2	8	6Е	2С	2Б				1	20	19	22	19				18	20	16				3	2	2	138	0.9
92	2	9	7Е	2С	1Б				1	13	12	14	15				10	12	12				2	1	3	77	0.8
93	2	10	4С	2Е	2Б	2Ос			1	27	28	26	26	29			30	26	24	36			8	5	2	143	0.6
94	2	11	4Е	1С	2Б	3Ос			1	27	26	28	26	29			26	32	24	32			6	4	2	85	0.7
